Source,Target,Type,Id,Label,timeset,Weight,partition
1630,52684,Undirected,1633,,,1,1
39161,1630,Undirected,39582,,,1,1
1650,18444,Undirected,1646,,,1,1
1651,12657,Undirected,1647,,,1,1
1652,103490,Undirected,1648,,,1,1
103487,1652,Undirected,85778,,,1,1
1655,96914,Undirected,1651,,,1,2
1655,72117,Undirected,1650,,,1,1
1655,54607,Undirected,1649,,,1,1
104134,1655,Undirected,86006,,,1,2
97013,1655,Undirected,82492,,,1,2
1656,109619,Undirected,1654,,,1,1
1656,51704,Undirected,1653,,,1,1
1656,32513,Undirected,1652,,,1,1
1658,30660,Undirected,1655,,,1,1
1661,87344,Undirected,1662,,,1,1
1661,55692,Undirected,1661,,,1,1
1661,44750,Undirected,1660,,,1,1
1661,44741,Undirected,1659,,,1,1
1661,44731,Undirected,1658,,,1,1
1661,44725,Undirected,1657,,,1,1
1661,26338,Undirected,1656,,,1,1
1687,106902,Undirected,1690,,,1,1
1687,100211,Undirected,1689,,,1,1
1687,65106,Undirected,1688,,,1,1
1687,10718,Undirected,1687,,,1,2
1687,10718,Undirected,1686,,,1,1
89593,1687,Undirected,77950,,,1,2
7212,1687,Undirected,8286,,,1,2
1694,78936,Undirected,1696,,,1,1
1694,1702,Undirected,1694,,,1,1
1697,1702,Undirected,1697,,,1,1
78936,1697,Undirected,70220,,,1,1
1701,9177,Undirected,1698,,,1,1
1702,78936,Undirected,1699,,,1,1
78936,1702,Undirected,70221,,,1,1
1708,92278,Undirected,1707,,,1,1
1708,80532,Undirected,1706,,,1,1
90106,1708,Undirected,78143,,,1,2
66780,1708,Undirected,63380,,,1,2
56610,1708,Undirected,56051,,,1,2
35554,1708,Undirected,35952,,,1,2
1726,33011,Undirected,1783,,,1,1
1732,106223,Undirected,1785,,,1,1
1743,108334,Undirected,1802,,,1,1
1743,105271,Undirected,1801,,,1,2
1743,101051,Undirected,1800,,,1,2
1743,56610,Undirected,1799,,,1,2
1743,56531,Undirected,1798,,,1,2
1764,87771,Undirected,1819,,,1,1
1764,79298,Undirected,1818,,,1,1
1774,30124,Undirected,1830,,,1,1
1778,71045,Undirected,1833,,,1,1
1778,41470,Undirected,1832,,,1,1
1778,12368,Undirected,1831,,,1,1
1785,40677,Undirected,1844,,,1,1
1785,11444,Undirected,1843,,,1,1
1785,1787,Undirected,1842,,,1,1
1787,40677,Undirected,1846,,,1,1
1787,11444,Undirected,1845,,,1,1
12145,1787,Undirected,13164,,,1,2
1796,86430,Undirected,1866,,,1,1
1796,73393,Undirected,1865,,,1,1
1796,56613,Undirected,1864,,,1,1
1796,51004,Undirected,1863,,,1,1
1796,38696,Undirected,1862,,,1,1
1796,36563,Undirected,1861,,,1,1
1796,31183,Undirected,1860,,,1,1
1796,11155,Undirected,1859,,,1,1
1796,9316,Undirected,1858,,,1,1
1814,5949,Undirected,1871,,,1,1
1815,84383,Undirected,1873,,,1,1
1815,17319,Undirected,1872,,,1,2
1819,101526,Undirected,1883,,,1,1
1819,89814,Undirected,1882,,,1,1
1819,86382,Undirected,1881,,,1,1
1819,76616,Undirected,1880,,,1,1
1819,75395,Undirected,1879,,,1,1
1819,74843,Undirected,1878,,,1,1
1819,68175,Undirected,1877,,,1,1
1819,31044,Undirected,1876,,,1,1
1819,24944,Undirected,1875,,,1,1
1819,12040,Undirected,1874,,,1,1
24453,1819,Undirected,26808,,,1,1
1834,92908,Undirected,1895,,,1,1
1834,50814,Undirected,1894,,,1,1
1838,21497,Undirected,1897,,,1,1
1838,9299,Undirected,1896,,,1,1
1861,84901,Undirected,1943,,,1,1
1861,11379,Undirected,1942,,,1,1
1864,110590,Undirected,1946,,,1,1
1864,86874,Undirected,1945,,,1,1
1864,9174,Undirected,1944,,,1,1
1903,84771,Undirected,1972,,,1,1
1903,74473,Undirected,1971,,,1,1
1908,68285,Undirected,1977,,,1,2
1908,68285,Undirected,1976,,,1,1
1908,15172,Undirected,1975,,,1,2
1908,15172,Undirected,1974,,,1,1
1908,11085,Undirected,1973,,,1,2
1923,78222,Undirected,1987,,,1,1
1923,34308,Undirected,1986,,,1,1
1924,97170,Undirected,1988,,,1,1
1930,59509,Undirected,1993,,,1,1
1930,29209,Undirected,1992,,,1,1
1930,29196,Undirected,1991,,,1,1
84420,1930,Undirected,73485,,,1,1
29194,1930,Undirected,30875,,,1,1
17218,1930,Undirected,18468,,,1,1
1938,49038,Undirected,1994,,,1,2
1946,89547,Undirected,2021,,,1,1
1946,80682,Undirected,2020,,,1,1
1946,55173,Undirected,2018,,,1,1
1946,20794,Undirected,2017,,,1,1
1949,72497,Undirected,2031,,,1,1
1949,32484,Undirected,2030,,,1,1
1962,37520,Undirected,2042,,,1,1
1962,28705,Undirected,2041,,,1,1
1979,30787,Undirected,2052,,,1,1
33122,1981,Undirected,34210,,,1,2
1982,15567,Undirected,2054,,,1,1
1983,104439,Undirected,2055,,,1,1
108781,2004,Undirected,87946,,,1,1
67524,2023,Undirected,63752,,,1,1
66014,2023,Undirected,62821,,,1,1
36466,2023,Undirected,37170,,,1,1
26988,2023,Undirected,29189,,,1,1
17936,2023,Undirected,19273,,,1,1
10114,2023,Undirected,11208,,,1,1
2754,2023,Undirected,2917,,,1,1
2595,2023,Undirected,2771,,,1,1
2031,95340,Undirected,2174,,,1,1
95340,2031,Undirected,81245,,,1,1
2062,11642,Undirected,2204,,,1,1
2067,26113,Undirected,2208,,,1,2
2070,42264,Undirected,2210,,,1,1
2081,83522,Undirected,2219,,,1,1
2081,36097,Undirected,2218,,,1,1
2096,113398,Undirected,2225,,,1,1
2100,52587,Undirected,2229,,,1,2
2104,94466,Undirected,2242,,,1,1
2104,90657,Undirected,2240,,,1,1
2104,68614,Undirected,2239,,,1,1
29469,2104,Undirected,31072,,,1,1
2105,108336,Undirected,2246,,,1,1
2105,59261,Undirected,2245,,,1,1
2105,44772,Undirected,2244,,,1,1
2118,9513,Undirected,2258,,,1,1
2120,44309,Undirected,2262,,,1,1
2120,42262,Undirected,2261,,,1,1
2120,16174,Undirected,2260,,,1,1
2129,88887,Undirected,2272,,,1,1
2129,6579,Undirected,2271,,,1,1
2145,105292,Undirected,2288,,,1,1
2145,72750,Undirected,2287,,,1,1
2145,19623,Undirected,2285,,,1,1
2145,19255,Undirected,2284,,,1,1
2153,101755,Undirected,2298,,,1,1
2153,101686,Undirected,2297,,,1,1
2153,31940,Undirected,2296,,,1,1
2157,100354,Undirected,2306,,,1,1
2157,99709,Undirected,2305,,,1,1
2157,89037,Undirected,2304,,,1,1
2157,60418,Undirected,2303,,,1,1
2157,54552,Undirected,2302,,,1,1
2157,51000,Undirected,2301,,,1,1
2157,47266,Undirected,2300,,,1,1
2178,13745,Undirected,2329,,,1,1
4501,2178,Undirected,4945,,,1,2
2184,104329,Undirected,2338,,,1,1
2184,29693,Undirected,2337,,,1,1
2184,8124,Undirected,2336,,,1,1
2192,50696,Undirected,2343,,,1,1
2192,31365,Undirected,2342,,,1,1
2192,29984,Undirected,2341,,,1,1
2199,16574,Undirected,2347,,,1,1
2202,80711,Undirected,2351,,,1,1
2202,23915,Undirected,2350,,,1,1
2202,21477,Undirected,2349,,,1,1
45773,2202,Undirected,46433,,,1,1
2212,92338,Undirected,2360,,,1,1
2212,58500,Undirected,2359,,,1,1
2212,48140,Undirected,2358,,,1,1
2212,44464,Undirected,2357,,,1,1
2212,30754,Undirected,2356,,,1,1
2218,2785,Undirected,2377,,,1,1
2222,105020,Undirected,2385,,,1,1
2222,88029,Undirected,2384,,,1,1
2222,85445,Undirected,2383,,,1,1
2222,85442,Undirected,2382,,,1,1
2222,44681,Undirected,2381,,,1,1
2223,62160,Undirected,2386,,,1,1
2226,5904,Undirected,2387,,,1,1
84199,2249,Undirected,73344,,,1,1
2268,88684,Undirected,2415,,,1,2
2268,88684,Undirected,2414,,,1,1
2282,67163,Undirected,2420,,,1,1
107614,2282,Undirected,87461,,,1,1
98260,2282,Undirected,83499,,,1,1
97714,2282,Undirected,83210,,,1,1
