Id,Label,timeset,partition
3469,3469,,Vicenza
3473,3473,,Vicenza
3474,3474,,Padova
3479,3479,,Padova
3486,3486,,Padova
3492,3492,,Padova
3494,3494,,Padova
3495,3495,,Vicenza
3499,3499,,Vicenza
3501,3501,,Vicenza
3502,3502,,Padova
3503,3503,,Vicenza
3504,3504,,Vicenza
3507,3507,,Padova
3510,3510,,Vicenza
3511,3511,,Padova
3525,3525,,Vicenza
3530,3530,,Padova
3535,3535,,Vicenza
3536,3536,,Padova
3539,3539,,Padova
3543,3543,,Padova
3545,3545,,Padova
3548,3548,,Vicenza
3551,3551,,Padova
3559,3559,,Vicenza
3560,3560,,Vicenza
3574,3574,,Padova
3578,3578,,Padova
3579,3579,,Padova
3584,3584,,Padova
3585,3585,,Padova
3590,3590,,Padova
3591,3591,,Vicenza
3592,3592,,Vicenza
3601,3601,,Vicenza
3602,3602,,Vicenza
3607,3607,,Vicenza
3609,3609,,Vicenza
3612,3612,,Vicenza
3615,3615,,Vicenza
3616,3616,,Vicenza
3620,3620,,Vicenza
3625,3625,,Vicenza
3631,3631,,Vicenza
3633,3633,,Padova
3635,3635,,Vicenza
3636,3636,,Vicenza
3642,3642,,Vicenza
3645,3645,,Padova
3656,3656,,Vicenza
3660,3660,,Padova
3664,3664,,Vicenza
3667,3667,,Padova
3668,3668,,Vicenza
3669,3669,,Vicenza
3672,3672,,Vicenza
3675,3675,,Padova
3680,3680,,Padova
3683,3683,,Vicenza
3685,3685,,Padova
3688,3688,,Padova
3695,3695,,Vicenza
3700,3700,,Vicenza
3701,3701,,Padova
3702,3702,,Padova
3703,3703,,Padova
3704,3704,,Padova
3706,3706,,Vicenza
3708,3708,,Padova
3721,3721,,Padova
3723,3723,,Padova
3730,3730,,Vicenza
3731,3731,,Padova
3735,3735,,Padova
3739,3739,,Padova
3743,3743,,Vicenza
3750,3750,,Padova
3752,3752,,Padova
3757,3757,,Vicenza
3761,3761,,Padova
3764,3764,,Vicenza
3767,3767,,Vicenza
3769,3769,,Padova
3774,3774,,Vicenza
3787,3787,,Padova
3791,3791,,Vicenza
3807,3807,,Padova
3808,3808,,Padova
3813,3813,,Padova
3817,3817,,Padova
3822,3822,,Vicenza
3826,3826,,Vicenza
3828,3828,,Padova
3841,3841,,Vicenza
3847,3847,,Vicenza
3851,3851,,Vicenza
3857,3857,,Vicenza
3860,3860,,Vicenza
3861,3861,,Padova
3869,3869,,Vicenza
3870,3870,,Padova
